row,column,lab,l,a,b,season,Season
0,0,"(86.76, -1.56, 6.61)",86.76,-1.56,6.61,ts,True Summer
0,1,"(82.03, -0.19, 4.95)",82.03,-0.19,4.95,ts,True Summer
0,2,"(76.02, -1.42, 6.3)",76.02,-1.42,6.3,ts,True Summer
0,3,"(58.11, 0.75, 3.86)",58.11,0.75,3.86,ts,True Summer
0,4,"(37.55, 2.7, 4.22)",37.55,2.7,4.22,ts,True Summer
0,5,"(84.51, 23.08, -1.59)",84.51,23.08,-1.59,ts,True Summer
0,6,"(73.56, 32.31, -3.84)",73.56,32.31,-3.84,ts,True Summer
0,7,"(65.82, 32.61, -3.88)",65.82,32.61,-3.88,ts,True Summer
0,8,"(50.93, 40.36, -7.39)",50.93,40.36,-7.39,ts,True Summer
0,9,"(33.23, 40.5, -2.7)",33.23,40.5,-2.7,ts,True Summer
1,0,"(88.34, -6.69, 31.78)",88.34,-6.69,31.78,ts,True Summer
1,1,"(85.19, -4.75, 31.08)",85.19,-4.75,31.08,ts,True Summer
1,2,"(67.11, -5.44, 7.41)",67.11,-5.44,7.41,ts,True Summer
1,3,"(53.43, -3.31, 5.83)",53.43,-3.31,5.83,ts,True Summer
1,4,"(37.34, -0.17, 4.48)",37.34,-0.17,4.48,ts,True Summer
1,5,"(73.38, -36.03, 5.61)",73.38,-36.03,5.61,ts,True Summer
1,6,"(54.63, -34.78, 8.73)",54.63,-34.78,8.73,ts,True Summer
1,7,"(45.2, -32.27, 6.25)",45.2,-32.27,6.25,ts,True Summer
1,8,"(51.12, -31.17, -3.03)",51.12,-31.17,-3.03,ts,True Summer
1,9,"(33.39, -21.08, -4.27)",33.39,-21.08,-4.27,ts,True Summer
2,0,"(79.1, 0.0, 1.12)",79.1,0.0,1.12,ts,True Summer
2,1,"(72.18, 3.38, 1.78)",72.18,3.38,1.78,ts,True Summer
2,2,"(54.09, 3.97, 0.83)",54.09,3.97,0.83,ts,True Summer
2,3,"(42.13, 6.95, -0.61)",42.13,6.95,-0.61,ts,True Summer
2,4,"(29.46, 3.39, -1.47)",29.46,3.39,-1.47,ts,True Summer
2,5,"(75.67, -38.88, -0.28)",75.67,-38.88,-0.28,ts,True Summer
2,6,"(55.22, -35.03, 3.0)",55.22,-35.03,3.0,ts,True Summer
2,7,"(49.98, -38.91, 11.81)",49.98,-38.91,11.81,ts,True Summer
2,8,"(38.29, -31.66, 10.17)",38.29,-31.66,10.17,ts,True Summer
2,9,"(26.37, -22.17, 8.5)",26.37,-22.17,8.5,ts,True Summer
3,0,"(79.83, 3.31, 1.75)",79.83,3.31,1.75,ts,True Summer
3,1,"(68.24, 3.66, 4.8)",68.24,3.66,4.8,ts,True Summer
3,2,"(54.36, 10.78, 1.95)",54.36,10.78,1.95,ts,True Summer
3,3,"(35.33, 9.69, 0.44)",35.33,9.69,0.44,ts,True Summer
3,4,"(23.41, 7.69, -0.55)",23.41,7.69,-0.55,ts,True Summer
3,5,"(73.21, -21.42, -22.81)",73.21,-21.42,-22.81,ts,True Summer
