row,column,lab,l,a,b,season,Season
6,2,"(32.95, 45.11, -17.27)",32.95,45.11,-17.27,cw,Clear Winter
6,3,"(45.14, 60.48, -5.89)",45.14,60.48,-5.89,cw,Clear Winter
6,4,"(24.95, 34.45, -7.11)",24.95,34.45,-7.11,cw,Clear Winter
0,0,"(97.12, 0.36, -0.95)",97.12,0.36,-0.95,tw,True Winter
0,1,"(30.77, 2.83, 4.38)",30.77,2.83,4.38,tw,True Winter
0,2,"(21.15, 0.11, -1.39)",21.15,0.11,-1.39,tw,True Winter
0,3,"(94.31, -5.25, 36.02)",94.31,-5.25,36.02,tw,True Winter
0,4,"(44.35, 57.0, 7.06)",44.35,57.0,7.06,tw,True Winter
0,5,"(63.5, -44.95, 27.55)",63.5,-44.95,27.55,tw,True Winter
0,6,"(37.07, -27.48, 1.11)",37.07,-27.48,1.11,tw,True Winter
0,7,"(47.09, -0.03, -42.34)",47.09,-0.03,-42.34,tw,True Winter
0,8,"(29.77, 6.0, -21.64)",29.77,6.0,-21.64,tw,True Winter
0,9,"(33.01, 17.12, -23.31)",33.01,17.12,-23.31,tw,True Winter
1,0,"(92.59, -0.53, 5.8)",92.59,-0.53,5.8,tw,True Winter
1,1,"(31.54, 12.84, 3.8)",31.54,12.84,3.8,tw,True Winter
1,2,"(87.3, 14.59, -3.94)",87.3,14.59,-3.94,tw,True Winter
1,3,"(93.24, -8.47, 55.05)",93.24,-8.47,55.05,tw,True Winter
1,4,"(34.49, 56.97, 8.84)",34.49,56.97,8.84,tw,True Winter
1,5,"(50.01, -42.7, 20.34)",50.01,-42.7,20.34,tw,True Winter
1,6,"(65.89, -32.44, -14.38)",65.89,-32.44,-14.38,tw,True Winter
1,7,"(61.06, 1.66, -29.86)",61.06,1.66,-29.86,tw,True Winter
1,8,"(28.03, 10.2, -14.64)",28.03,10.2,-14.64,tw,True Winter
1,9,"(22.6, 19.3, -23.83)",22.6,19.3,-23.83,tw,True Winter
2,0,"(87.8, 0.0, 6.59)",87.8,0.0,6.59,tw,True Winter
2,1,"(22.83, 10.34, 2.72)",22.83,10.34,2.72,tw,True Winter
2,2,"(87.92, -9.94, 8.69)",87.92,-9.94,8.69,tw,True Winter
2,3,"(92.57, -8.7, 61.31)",92.57,-8.7,61.31,tw,True Winter
2,4,"(60.95, 52.36, -8.06)",60.95,52.36,-8.06,tw,True Winter
2,5,"(42.89, -29.75, 10.11)",42.89,-29.75,10.11,tw,True Winter
2,6,"(46.9, -22.39, -15.22)",46.9,-22.39,-15.22,tw,True Winter
2,7,"(41.96, 9.77, -41.7)",41.96,9.77,-41.7,tw,True Winter
2,8,"(26.33, 1.91, -18.73)",26.33,1.91,-18.73,tw,True Winter
2,9,"(57.97, 41.42, -13.5)",57.97,41.42,-13.5,tw,True Winter
3,0,"(61.98, 5.98, 4.55)",61.98,5.98,4.55,tw,True Winter
3,1,"(83.7, -0.36, 2.09)",83.7,-0.36,2.09,tw,True Winter
3,2,"(87.32, -9.48, -4.86)",87.32,-9.48,-4.86,tw,True Winter
3,3,"(91.21, -8.75, 66.2)",91.21,-8.75,66.2,tw,True Winter
3,4,"(47.93, 57.16, -3.48)",47.93,57.16,-3.48,tw,True Winter
3,5,"(33.45, -22.19, 5.89)",33.45,-22.19,5.89,tw,True Winter
3,6,"(75.39, -14.67, -25.88)",75.39,-14.67,-25.88,tw,True Winter
3,7,"(35.22, 13.62, -43.58)",35.22,13.62,-43.58,tw,True Winter
3,8,"(30.74, 15.62, -25.7)",30.74,15.62,-25.7,tw,True Winter
3,9,"(43.4, 41.28, -17.92)",43.4,41.28,-17.92,tw,True Winter
4,0,"(48.45, 5.44, 6.95)",48.45,5.44,6.95,tw,True Winter
4,1,"(76.29, -1.22, 1.27)",76.29,-1.22,1.27,tw,True Winter
4,2,"(87.66, -3.53, -10.59)",87.66,-3.53,-10.59,tw,True Winter
4,3,"(47.13, 62.27, 21.88)",47.13,62.27,21.88,tw,True Winter
4,4,"(45.97, 54.11, -10.58)",45.97,54.11,-10.58,tw,True Winter
4,5,"(26.98, -20.39, 4.89)",26.98,-20.39,4.89,tw,True Winter
4,6,"(55.4, -15.78, -30.45)",55.4,-15.78,-30.45,tw,True Winter
4,7,"(23.07, 9.08, -35.61)",23.07,9.08,-35.61,tw,True Winter
4,8,"(53.99, 23.48, -25.84)",53.99,23.48,-25.84,tw,True Winter
4,9,"(31.63, 33.72, -13.78)",31.63,33.72,-13.78,tw,True Winter
5,0,"(64.27, 4.3, 5.66)",64.27,4.3,5.66,tw,True Winter
5,1,"(60.44, -2.14, -0.75)",60.44,-2.14,-0.75,tw,True Winter
5,2,"(86.72, 1.95, -9.83)",86.72,1.95,-9.83,tw,True Winter
5,3,"(40.62, 64.48, 15.64)",40.62,64.48,15.64,tw,True Winter
5,4,"(40.7, 42.8, -6.39)",40.7,42.8,-6.39,tw,True Winter
5,5,"(62.74, -42.94, 8.72)",62.74,-42.94,8.72,tw,True Winter
5,6,"(45.88, -14.5, -25.61)",45.88,-14.5,-25.61,tw,True Winter
5,7,"(24.13, 9.5, -18.19)",24.13,9.5,-18.19,tw,True Winter
5,8,"(40.26, 30.94, -25.53)",40.26,30.94,-25.53,tw,True Winter
5,9,"(28.69, 21.97, -8.19)",28.69,21.97,-8.19,tw,True Winter
6,0,"(51.55, 3.67, 3.78)",51.55,3.67,3.78,tw,True Winter
6,1,"(37.94, -2.39, -2.77)",37.94,-2.39,-2.77,tw,True Winter
6,2,"(88.93, 12.31, -2.05)",88.93,12.31,-2.05,tw,True Winter
6,3,"(36.44, 58.8, 13.12)",36.44,58.8,13.12,tw,True Winter
6,4,"(33.58, 28.28, -6.33)",33.58,28.28,-6.33,tw,True Winter
6,5,"(50.87, -37.75, 10.78)",50.87,-37.75,10.78,tw,True Winter
6,6,"(64.16, -6.88, -31.8)",64.16,-6.88,-31.8,tw,True Winter
6,7,"(36.35, 4.53, -29.64)",36.35,4.53,-29.64,tw,True Winter
6,8,"(40.01, 18.45, -34.58)",40.01,18.45,-34.58,tw,True Winter
6,9,"(16.05, 24.77, -7.36)",16.05,24.77,-7.36,tw,True Winter
0,0,"(100.0, 0.0, 0.0)",100.0,0.0,0.0,dw,Dark Winter
0,1,"(87.71, -0.19, 4.88)",87.71,-0.19,4.88,dw,Dark Winter
0,2,"(78.81, -1.77, 5.0)",78.81,-1.77,5.0,dw,Dark Winter
0,3,"(63.25, -0.19, 4.05)",63.25,-0.19,4.05,dw,Dark Winter
0,4,"(44.3, 1.61, 4.36)",44.3,1.61,4.36,dw,Dark Winter
0,5,"(63.86, -49.47, 18.23)",63.86,-49.47,18.23,dw,Dark Winter
0,6,"(33.17, -27.44, 8.53)",33.17,-27.44,8.53,dw,Dark Winter
0,7,"(22.2, -14.02, 0.64)",22.2,-14.02,0.64,dw,Dark Winter
0,8,"(18.46, -4.89, 5.55)",18.46,-4.89,5.55,dw,Dark Winter
0,9,"(14.81, 6.52, 3.28)",14.81,6.52,3.28,dw,Dark Winter
1,0,"(83.81, -1.16, -0.97)",83.81,-1.16,-0.97,dw,Dark Winter
1,1,"(80.41, -2.03, -0.7)",80.41,-2.03,-0.7,dw,Dark Winter
1,2,"(64.73, -1.61, 0.03)",64.73,-1.61,0.03,dw,Dark Winter
1,3,"(28.12, -2.7, -2.3)",28.12,-2.7,-2.3,dw,Dark Winter
1,4,"(0.0, 0.0, 0.0)",0.0,0.0,0.0,dw,Dark Winter
1,5,"(71.57, -43.06, 1.73)",71.57,-43.06,1.73,dw,Dark Winter
1,6,"(38.01, -26.45, 0.66)",38.01,-26.45,0.66,dw,Dark Winter
1,7,"(57.44, -24.08, -18.78)",57.44,-24.08,-18.78,dw,Dark Winter
1,8,"(41.89, -19.22, -14.8)",41.89,-19.22,-14.8,dw,Dark Winter
1,9,"(21.39, -9.7, -6.61)",21.39,-9.7,-6.61,dw,Dark Winter
2,0,"(90.41, -6.94, 32.59)",90.41,-6.94,32.59,dw,Dark Winter
2,1,"(85.31, 11.61, 1.53)",85.31,11.61,1.53,dw,Dark Winter
2,2,"(86.24, -15.94, 1.34)",86.24,-15.94,1.34,dw,Dark Winter
2,3,"(82.73, -10.17, -12.91)",82.73,-10.17,-12.91,dw,Dark Winter
2,4,"(79.71, 3.67, -17.31)",79.71,3.67,-17.31,dw,Dark Winter
2,5,"(70.68, -18.58, -26.7)",70.68,-18.58,-26.7,dw,Dark Winter
2,6,"(47.8, -11.55, -30.22)",47.8,-11.55,-30.22,dw,Dark Winter
2,7,"(30.35, -8.42, -19.61)",30.35,-8.42,-19.61,dw,Dark Winter
2,8,"(41.98, -5.92, -31.7)",41.98,-5.92,-31.7,dw,Dark Winter
2,9,"(19.42, -1.78, -14.34)",19.42,-1.78,-14.34,dw,Dark Winter
3,0,"(90.39, -7.05, 56.41)",90.39,-7.05,56.41,dw,Dark Winter
3,1,"(84.94, 4.08, 52.34)",84.94,4.08,52.34,dw,Dark Winter
3,2,"(80.6, 7.44, 48.41)",80.6,7.44,48.41,dw,Dark Winter
3,3,"(71.37, -37.2, 48.73)",71.37,-37.2,48.73,dw,Dark Winter
3,4,"(39.45, -25.17, 28.62)",39.45,-25.17,28.62,dw,Dark Winter
3,5,"(70.1, -11.02, -30.27)",70.1,-11.02,-30.27,dw,Dark Winter
3,6,"(41.75, -1.72, -36.8)",41.75,-1.72,-36.8,dw,Dark Winter
3,7,"(60.51, 8.89, -51.89)",60.51,8.89,-51.89,dw,Dark Winter
3,8,"(34.15, 6.22, -38.69)",34.15,6.22,-38.69,dw,Dark Winter
3,9,"(18.45, 3.66, -20.59)",18.45,3.66,-20.59,dw,Dark Winter
4,0,"(47.49, 61.73, 24.19)",47.49,61.73,24.19,dw,Dark Winter
4,1,"(54.57, 60.2, 19.25)",54.57,60.2,19.25,dw,Dark Winter
4,2,"(66.66, 51.86, 2.95)",66.66,51.86,2.95,dw,Dark Winter
4,3,"(53.42, 60.67, 9.22)",53.42,60.67,9.22,dw,Dark Winter
4,4,"(28.2, 39.39, 8.12)",28.2,39.39,8.12,dw,Dark Winter
4,5,"(62.82, 23.22, -21.12)",62.82,23.22,-21.12,dw,Dark Winter
4,6,"(50.67, 30.28, -22.2)",50.67,30.28,-22.2,dw,Dark Winter
4,7,"(24.31, 22.86, -15.05)",24.31,22.86,-15.05,dw,Dark Winter
4,8,"(14.42, 8.45, -9.5)",14.42,8.45,-9.5,dw,Dark Winter
4,9,"(12.78, 8.31, -0.42)",12.78,8.31,-0.42,dw,Dark Winter
5,0,"(39.39, 56.8, 24.3)",39.39,56.8,24.3,dw,Dark Winter
5,1,"(32.23, 46.08, 13.62)",32.23,46.08,13.62,dw,Dark Winter
5,2,"(35.35, 48.61, 22.7)",35.35,48.61,22.7,dw,Dark Winter
5,3,"(26.29, 36.42, 10.61)",26.29,36.42,10.61,dw,Dark Winter
5,4,"(21.18, 26.28, 4.08)",21.18,26.28,4.08,dw,Dark Winter
5,5,"(65.17, 43.83, -0.64)",65.17,43.83,-0.64,dw,Dark Winter
5,6,"(35.54, 40.7, 3.41)",35.54,40.7,3.41,dw,Dark Winter
5,7,"(14.97, 12.5, -0.66)",14.97,12.5,-0.66,dw,Dark Winter
6,0,"(61.51, 50.72, 16.19)",61.51,50.72,16.19,dw,Dark Winter
6,1,"(52.01, 60.27, 22.72)",52.01,60.27,22.72,dw,Dark Winter
6,2,"(29.97, 40.17, 14.73)",29.97,40.17,14.73,dw,Dark Winter
6,3,"(23.48, 28.03, 10.98)",23.48,28.03,10.98,dw,Dark Winter
6,4,"(14.43, 8.69, 3.52)",14.43,8.69,3.52,dw,Dark Winter
